test_case,filter_size,method_name,total_time,cumulative_time,per_call_time
bloom,500,add,2.578e-06,1.8591000000000002e-05,1.8591000000000002e-05
bloom,500,add,2.83e-06,2.2709000000000002e-05,2.2709000000000002e-05
bloom,500,add,3.362e-06,3.286e-05,3.286e-05
bloom,500,add,3.1890000000000003e-06,2.4627e-05,2.4627e-05
bloom,500,add,3.36e-06,2.1992000000000002e-05,2.1992000000000002e-05
bloom,500,add,2.972e-06,2.4465e-05,2.4465e-05
bloom,500,add,3.248e-06,2.324e-05,2.324e-05
bloom,500,add,3.1600000000000002e-06,2.2243e-05,2.2243e-05
bloom,500,add,2.4790000000000003e-06,1.9920000000000002e-05,1.9920000000000002e-05
bloom,500,add,2.883e-06,2.0541000000000002e-05,2.0541000000000002e-05
bloom,500,add,3.3800000000000002e-06,4.672e-05,4.672e-05
bloom,500,add,2.486e-06,1.9189000000000002e-05,1.9189000000000002e-05
bloom,500,add,2.498e-06,1.8032e-05,1.8032e-05
bloom,500,add,2.4840000000000003e-06,1.8058000000000002e-05,1.8058000000000002e-05
bloom,500,add,2.746e-06,1.8745e-05,1.8745e-05
bloom,500,add,2.898e-06,3.1665e-05,3.1665e-05
bloom,500,add,2.7380000000000003e-06,2.0185e-05,2.0185e-05
bloom,500,add,3.0640000000000002e-06,2.2346000000000003e-05,2.2346000000000003e-05
bloom,500,add,2.379e-06,1.8867e-05,1.8867e-05
bloom,500,add,2.285e-06,1.6784e-05,1.6784e-05
bloom,500,add,2.4000000000000003e-06,1.8404000000000002e-05,1.8404000000000002e-05
bloom,500,add,2.618e-06,1.9532000000000002e-05,1.9532000000000002e-05
bloom,500,add,3.0190000000000002e-06,2.1036e-05,2.1036e-05
bloom,500,add,3.1260000000000002e-06,2.08e-05,2.08e-05
bloom,500,add,2.973e-06,2.1944000000000002e-05,2.1944000000000002e-05
bloom,500,add,2.83e-06,2.3057000000000003e-05,2.3057000000000003e-05
bloom,500,add,2.268e-06,1.8261e-05,1.8261e-05
bloom,500,add,1.4947000000000001e-05,3.1438e-05,3.1438e-05
bloom,500,add,3.0810000000000002e-06,2.0692e-05,2.0692e-05
bloom,500,add,2.16e-06,1.6503e-05,1.6503e-05
bloom,500,add,3.091e-06,2.0511e-05,2.0511e-05
bloom,500,add,2.6140000000000003e-06,1.9746e-05,1.9746e-05
bloom,500,add,3.1100000000000003e-06,2.1539e-05,2.1539e-05
